text,label
biscuits and gravy,FoodIconCroissant
think thin bar,FoodIconProtein
sweet and spicy popcorn,FoodIconPopcorn
menudo,FoodIconSoup
seltzer,FoodIconGlassWater
gochujang pork,FoodIconPork
key lime yogurt,FoodIconMilk
bone in chicken leg oven,FoodIconDrumstick
rice vermicelli,FoodIconRamen
juice blend,FoodIconCupSoda
breakfast cereals,FoodIconWheat
filtered water,FoodIconGlassWater
town house crackers,FoodIconBread
water carafe,FoodIconGlassWater
cruffin pastry,FoodIconCroissant
barszcz beet soup,FoodIconSoup
cafe la llave,FoodIconCoffee
san francisco mission burrito,FoodIconBurrito
frozen fruit pop,FoodIconPopsicle
vegetable casserole,FoodIconCookingPot
sweets,FoodIconCandy
dessert table,FoodIconCake
saison,FoodIconBeer
amaretto sour cocktail,FoodIconMartini
western omelette,FoodIconEgg
breakfast station,FoodIconEgg
large croissant,FoodIconCroissant
fresh orange,FoodIconCitrus
corn tortilla taco,FoodIconTaco
self serve cone machine,FoodIconIceCream
cocoa puffs,FoodIconWheat
currants,FoodIconGrape
steak fries,FoodIconFries
roasted pistachios,FoodIconNut
sherry,FoodIconWine
sangria,FoodIconMartini
grinder,FoodIconSandwich
banana split,FoodIconBanana
oven potato wedge,FoodIconFries
peppermint candy cane,FoodIconCandyCane
tabouli,FoodIconSalad
ajo blanco,FoodIconSoup
lemon garnish,FoodIconCitrus
oreo ice cream sandwich bar,FoodIconIceCreamSandwich
paccheri lobster,FoodIconPasta
cakes,FoodIconCake
hero station,FoodIconSandwich
al pastor taco,FoodIconTaco
fresh seasonal fruit,FoodIconApple
helix pomatia,FoodIconSnail
frank,FoodIconHotDog
tiger roll,FoodIconSushi
starlight mint,FoodIconCandy
halibut fillet,FoodIconFish
chicken wrap,FoodIconWrap
roast turkey with stuffing,FoodIconDrumstick
restaurant buffet,FoodIconUtensilsCrossed
hot tamales,FoodIconCandy
fish sauce,FoodIconChefHat
hashbrown,FoodIconEgg
gelato scoop,FoodIconDessert
microwave pasta,FoodIconMicrowave
tossed salad station,FoodIconSalad
croissants,FoodIconCroissant
rice today,FoodIconRiceBowl
spiced nuts,FoodIconNut
beef fajitas,FoodIconBeef
dasani,FoodIconGlassWater
pho bo,FoodIconRamen
pot roast with beef,FoodIconBeef
organic nuggets,FoodIconChicken
turkey sausage link,FoodIconHotDog
sangria,FoodIconWine
italian station,FoodIconPasta
mango salad,FoodIconSalad
white blend bottle,FoodIconBottleWine
beer flight,FoodIconBeer
bircher bar,FoodIconWheat
tempura shrimp,FoodIconShrimp
ruby red grapefruit,FoodIconCitrus
house salad bar,FoodIconSalad
daisy cottage cheese cup,FoodIconMilk
loukoumades,FoodIconDonut
martini,FoodIconMartini
chicken saltimbocca,FoodIconChicken
turkey cold cuts,FoodIconHam
quesabirria,FoodIconTaco
fiber cereal,FoodIconWheat
chocolate lollipop,FoodIconLollipop
kitsune udon,FoodIconRamen
black sea bass,FoodIconFish
fruit flavored pop,FoodIconLollipop
mexican station,FoodIconTaco
food selection,FoodIconShoppingBasket
baked cod,FoodIconFish
bread bar,FoodIconBread
chilled item,FoodIconRefrigerator
grilled brat,FoodIconHotDog
lucky charms donut,FoodIconDonut
pint of beer,FoodIconBeer
moscato bottle,FoodIconBottleWine
restaurant size,FoodIconUtensilsCrossed
ramyeon army stew,FoodIconRamen
heat and serve,FoodIconMicrowave
roasted pork belly chinese,FoodIconPork
baumkuchen,FoodIconCake
colorado bulldog,FoodIconMartini
salmon rice bowl,FoodIconRiceBowl
coney island,FoodIconHotDog
smoked turkey drumstick,FoodIconDrumstick
yuzu dressing,FoodIconCitrus
beef picadillo,FoodIconBeef
yanjing beer,FoodIconBeer
spicy chicken leg,FoodIconDrumstick
omelette bar station,FoodIconEgg
foot long,FoodIconHotDog
cheesecake,FoodIconCake
sliced turkey and gravy,FoodIconDrumstick
jelly filled donut,FoodIconDonut
salad bar options,FoodIconSalad
side sauce,FoodIconChefHat
quest protein bar,FoodIconProtein
dwaeji galbi pork ribs,FoodIconPork
turkey with stuffing and gravy,FoodIconDrumstick
abalone,FoodIconSnail
wrap station,FoodIconSandwich
mini pancakes,FoodIconCroissant
ambasha bread,FoodIconBread
grape station,FoodIconGrape
baked eggs,FoodIconEgg
tomato soup,FoodIconSoup
birthday cake cookie,FoodIconCookie
rum banana sauce,FoodIconBanana
new orleans coffee,FoodIconCoffee
fat free yogurt,FoodIconMilk
sandwich station,FoodIconSandwich
acini di pepe,FoodIconPasta
banana soft serve,FoodIconBanana
roast beef,FoodIconBeef
mint chocolate sundae,FoodIconIceCreamBowl
teriyaki taco fusion,FoodIconTaco
jalapeno nachos,FoodIconTaco
grain and greens station,FoodIconSalad
pisco sour,FoodIconMartini
cast iron egg,FoodIconEggFried
beef and broccoli,FoodIconBeef
kampachi hawaii,FoodIconFish
porcini pasta,FoodIconPasta
carrot cake,FoodIconCake
fish fry friday,FoodIconFish
food serving,FoodIconUtensils
strawberry basil water,FoodIconGlassWater
quinn popcorn,FoodIconPopcorn
weenie,FoodIconHotDog
beef stir fry,FoodIconBeef
pan seared salmon,FoodIconFish
carne asada tacos beef,FoodIconBeef
cheez-it,FoodIconBread
baltica beer,FoodIconBeer
signature dish,FoodIconChefHat
chocolate chip pancakes,FoodIconCroissant
crispy chicken leg air fryer,FoodIconDrumstick
hazelnut,FoodIconNut
heritage grain,FoodIconWheat
roast beef wrap,FoodIconWrap
detroit coney,FoodIconHotDog
make your own sundae,FoodIconDessert
turkey leg station,FoodIconDrumstick
theater popcorn,FoodIconPopcorn
mini donuts,FoodIconDonut
oatmeal cup,FoodIconWheat
caramel latte,FoodIconCoffee
spinach quiche,FoodIconEgg
lightlife chicken,FoodIconVegan
candy cane oreo,FoodIconCandyCane
violife vegan cheese,FoodIconVegan
vermicelli,FoodIconPasta
coconut yogurt,FoodIconMilk
stadium dog,FoodIconHotDog
oxtail jamaican,FoodIconSoup
coffee cake slice,FoodIconCakeSlice
menudo,FoodIconCookingPot
frisee salad,FoodIconSalad
carne asada taco,FoodIconTaco
country fried chicken,FoodIconChicken
soda station,FoodIconCupSoda
horiatiki,FoodIconSalad
popcorn tin holiday,FoodIconPopcorn
sugar daddy,FoodIconCandy
patron tequila drink,FoodIconMartini
chocolate cake,FoodIconCake
turkey breast deli,FoodIconHam
medianoche,FoodIconSandwich
honey ham slice,FoodIconHam
warm milk,FoodIconMilk
all you can eat,FoodIconUtensilsCrossed
after dinner dessert,FoodIconDessert
ice cream bar,FoodIconIceCreamSandwich
shake shack fries,FoodIconFries
mushroom risotto,FoodIconRiceBowl
jumbo shrimp,FoodIconShrimp
whole banana,FoodIconBanana
well done egg,FoodIconEggFried
chirashi don,FoodIconSushi
cobbler savory,FoodIconCookingPot
chipotle burrito,FoodIconBurrito
kaisendon sashimi rice,FoodIconRiceBowl
frozen ice cream sandwich,FoodIconIceCreamSandwich
soft serve cone,FoodIconIceCream
vodka martini,FoodIconMartini
chicken tikka,FoodIconChicken
caramel drizzle sundae,FoodIconIceCreamBowl
birria taco,FoodIconTaco
orange julius,FoodIconCupSoda
fish entree station,FoodIconFish
chicago dog,FoodIconHotDog
carrot fries,FoodIconCarrot
beef stew,FoodIconCookingPot
double double,FoodIconBurger
korean samgyeopsal pork belly,FoodIconPork
cookie ice cream sandwich bar,FoodIconIceCreamSandwich
sonic seasoned tot,FoodIconFries
ribbon candy lollipop,FoodIconLollipop
baby bananas,FoodIconBanana
calzone station,FoodIconPizza
protein style burger,FoodIconBurger
slider station,FoodIconBurger
grilled entrees station,FoodIconBurger
grain line,FoodIconRiceBowl
easy mac,FoodIconMicrowave
lemon yogurt,FoodIconMilk
meal prep leftovers,FoodIconMicrowave
beef oxtail stew,FoodIconSoup
french dip station,FoodIconSandwich
31 flavors cup,FoodIconIceCreamBowl
salad bar line,FoodIconSalad
cake slices,FoodIconCake
zhou,FoodIconRiceBowl
teriyaki chicken,FoodIconChicken
chili bar,FoodIconSoup
meat free,FoodIconVegan
unsweetened iced tea,FoodIconCupSoda
shakshuka baked egg,FoodIconEgg
crumbl cookie,FoodIconCookie
chips ahoy,FoodIconCookie
turkey grinder,FoodIconSandwich
fruit smoothie,FoodIconCupSoda
california donut la,FoodIconDonut
everything bagel popcorn seasoning,FoodIconPopcorn
port wine,FoodIconWine
whole grilled fish,FoodIconFish
spicy tuna roll,FoodIconSushi
tapioca pearls drink,FoodIconCupSoda
lime popcorn,FoodIconPopcorn
pork dumpling,FoodIconPork
triple ipa,FoodIconBeer
pork taco,FoodIconTaco
shawarma,FoodIconWrap
make your own sandwich,FoodIconSandwich
veggie dish,FoodIconVegan
white bread,FoodIconBread
bottle of gewurztraminer,FoodIconBottleWine
chicken pho,FoodIconRamen
saratoga sparkling water,FoodIconGlassWater
harvest bowl station,FoodIconSalad
beef shawarma,FoodIconBeef
grapefruit half,FoodIconCitrus
half chicken,FoodIconChicken
vegan poutine,FoodIconFries
chipotle style beef,FoodIconBeef
firm tofu,FoodIconVegan
beer brat,FoodIconHotDog
cold salad bar,FoodIconSalad
lean cuisine,FoodIconMicrowave
tiger shrimp,FoodIconShrimp
dining out,FoodIconUtensilsCrossed
banana foster,FoodIconBanana
birthday cake,FoodIconCake
farro station,FoodIconRiceBowl
banh canh noodle,FoodIconRamen
juice blends,FoodIconCupSoda
pan fried fish,FoodIconFish
bottle of viognier,FoodIconBottleWine
ukrainian borscht,FoodIconSoup
butter crackers,FoodIconBread
taco fixings bar,FoodIconTaco
bibb lettuce wrap,FoodIconWrap
torta,FoodIconSandwich
dining hall station,FoodIconChefHat
lima beans,FoodIconBean
soda,FoodIconCupSoda
carrot cake wedge,FoodIconCakeSlice
vegetable roll,FoodIconSushi
shrimp poke,FoodIconRiceBowl
heat and eat,FoodIconMicrowave
tater tots,FoodIconFries
french toast bar,FoodIconCroissant
walleye fillet,FoodIconFish
spanish rice station,FoodIconRiceBowl
salted caramel remix yogurt,FoodIconMilk
build your own pasta,FoodIconPasta
chocolate milk,FoodIconMilk
hot breakfast station,FoodIconEgg
ribeye,FoodIconBeef
crush,FoodIconCupSoda
popsicles,FoodIconPopsicle
soft pretzel,FoodIconBread
albanese,FoodIconCandy
maple brown sugar oatmeal,FoodIconWheat
birthday cake slice,FoodIconCakeSlice
pastry dessert,FoodIconCake
dragon roll sushi,FoodIconSushi
cream of asparagus,FoodIconSoup
plain yogurt,FoodIconMilk
candied pecans,FoodIconNut
eggs en cocotte,FoodIconEgg
pre sliced turkey,FoodIconHam
mediterranean chicken leg,FoodIconDrumstick
chef's selection,FoodIconChefHat
ice cream sandwich treat,FoodIconIceCreamSandwich
farm fresh eggs,FoodIconEgg
spam musubi rice,FoodIconRiceBowl
frozen mac and cheese,FoodIconMicrowave
travel nut snack,FoodIconNut
fluffy scrambled eggs,FoodIconEgg
taco frito,FoodIconTaco
pastrami,FoodIconHam
salt water taffy,FoodIconCandy
flat iron steak,FoodIconBeef
pan seared cod,FoodIconFish
cold brew concentrate,FoodIconCoffee
cashew chicken,FoodIconChicken
truffle pasta mushroom,FoodIconPasta
frozen dessert bar,FoodIconDessert
danish pastry laminated,FoodIconCroissant
daily dessert,FoodIconCake
frozen daiquiri,FoodIconMartini
cheez its,FoodIconBread
ebi tempura roll,FoodIconSushi
diner fried egg,FoodIconEggFried
pure protein bar white chocolate,FoodIconProtein
single slice cake,FoodIconCakeSlice
bottle of gruner,FoodIconBottleWine
garden salad bar,FoodIconSalad
golden delicious,FoodIconApple
pb&j,FoodIconNut
dark chocolate popcorn,FoodIconPopcorn
high protein snack,FoodIconProtein
waterloo plain,FoodIconGlassWater
zeppole,FoodIconDonut
fresh grapes,FoodIconGrape
shake shack fry,FoodIconFries
mentos,FoodIconCandy
white carrot,FoodIconCarrot
grass fed milk,FoodIconMilk
classic burger station,FoodIconBurger
water bottle,FoodIconGlassWater
matcha soft serve,FoodIconDessert
casein powder scoop,FoodIconProtein
premier protein shake,FoodIconProtein
scone,FoodIconCroissant
nasi kuning yellow rice,FoodIconRiceBowl
prosciutto pizza,FoodIconPizza
japanese beef station,FoodIconBeef
spring mix,FoodIconSalad
tekkadon tuna sashimi rice,FoodIconRiceBowl
fresh bread,FoodIconBread
pain aux raisins,FoodIconCroissant
tongue deli,FoodIconHam
restaurant takeout,FoodIconUtensilsCrossed
naked cake,FoodIconCake
carnival popcorn,FoodIconPopcorn
bean bowl,FoodIconBean
carrot vichy,FoodIconCarrot
spicy italian sausage,FoodIconHotDog
jollof inspired soup,FoodIconSoup
charcuterie plate,FoodIconHam
biscuit bar,FoodIconBread
scooped ice cream cone,FoodIconIceCream
mini bananas,FoodIconBanana
chicken dish,FoodIconChicken
chicken thigh station,FoodIconChicken
manzano banana,FoodIconBanana
eel roll,FoodIconSushi
assorted crackers,FoodIconBread
oat bar,FoodIconWheat
wild rice station,FoodIconRiceBowl
wakame,FoodIconSushi
porridge,FoodIconWheat
larabar,FoodIconProtein
lifting snack,FoodIconProtein
scotch egg,FoodIconEgg
pasta marinara,FoodIconPasta
chicken deli,FoodIconHam
orange fruit,FoodIconCitrus
salumi board,FoodIconHam
chicken thigh and leg,FoodIconDrumstick
tender pop popcorn,FoodIconPopcorn
white wine bottle,FoodIconBottleWine
prinsesstårta,FoodIconCake
corona light,FoodIconBeer
croque,FoodIconSandwich
teriyaki salmon,FoodIconFish
jackfruit tacos,FoodIconVegan
stuffed french toast,FoodIconCroissant
ika squid sashimi,FoodIconSushi
a food,FoodIconUtensils
dole whip bar,FoodIconPopsicle
macadamia chocolate,FoodIconNut
ballpark frank,FoodIconHotDog
hash brown,FoodIconEgg
sinangag,FoodIconRiceBowl
blueberry dip cone,FoodIconIceCream
steamed rice station,FoodIconRiceBowl
eating,FoodIconUtensils
cake of the day,FoodIconCake
yuzu citrus,FoodIconCitrus
spatchcock turkey,FoodIconDrumstick
pepper steak,FoodIconBeef
instant pot,FoodIconCookingPot
granola,FoodIconWheat
dirty milk tea,FoodIconCupSoda
kielbasa,FoodIconHotDog
army stew with noodles,FoodIconRamen
pumpernickel,FoodIconBread
marble cake,FoodIconCake
protein shake homemade,FoodIconProtein
sparkling wine,FoodIconWine
christmas burrito,FoodIconBurrito
passion fruit donut,FoodIconDonut
clementine,FoodIconCitrus
caramel popcorn,FoodIconPopcorn
raw tomato pasta,FoodIconPasta
bourbon neat,FoodIconMartini
teriyaki bowl,FoodIconRiceBowl
turkish coffee,FoodIconCoffee
reduced fat milk,FoodIconMilk
egg white,FoodIconEgg
taco bar station,FoodIconTaco
creatine,FoodIconProtein
carne asada taco,FoodIconTaco
overrun ice cream machine,FoodIconDessert
tofu roll vegan sushi,FoodIconSushi
paneer naan,FoodIconBread
wendy's burger,FoodIconBurger
tuna tartare,FoodIconFish
carrot crudité,FoodIconCarrot
goobers raisin chocolate,FoodIconGrape
ranch seasoned drumstick,FoodIconDrumstick
taqueria bar,FoodIconTaco
banana pancakes,FoodIconCroissant
beet salad,FoodIconSalad
vegetarian taco,FoodIconTaco
saj bread,FoodIconBread
rice bowl,FoodIconRiceBowl
ready to eat meal,FoodIconMicrowave
liquid egg white,FoodIconEgg
ham sandwich,FoodIconSandwich
yogurt covered almonds,FoodIconNut
frozen pop,FoodIconPopsicle
garlicky escargot,FoodIconSnail
neapolitan ice cream sandwich,FoodIconIceCreamSandwich
tres leches slice,FoodIconCakeSlice
saba mackerel sashimi,FoodIconSushi
donut holes,FoodIconDonut
minneola,FoodIconCitrus
shrimp tempura,FoodIconShrimp
sugar crystal lollipop,FoodIconLollipop
ben jerrys ice cream sandwich,FoodIconIceCreamSandwich
market fresh today,FoodIconChefHat
white rice station,FoodIconRiceBowl
kimchi poutine,FoodIconFries
giant chipwich large,FoodIconIceCreamSandwich
cannellini beans,FoodIconBean
sparkling water,FoodIconGlassWater
celery root soup,FoodIconSoup
salmon station,FoodIconFish
coco boba,FoodIconCupSoda
fulfil bar,FoodIconProtein
frozen dinner,FoodIconMicrowave
mustard,FoodIconChefHat
filet o fish,FoodIconSandwich
puffed kamut,FoodIconWheat
kirin beer,FoodIconBeer
gluten free wrap,FoodIconWrap
nourish bowl,FoodIconVegan
egg over easy,FoodIconEggFried
affogato,FoodIconCoffee
bottle of tempranillo,FoodIconBottleWine
cheese nachos,FoodIconTaco
manhattan clam chowder,FoodIconSoup
beef shawarma,FoodIconWrap
francese chicken,FoodIconChicken
beer bloody mary,FoodIconBeer
acai bowl topped,FoodIconIceCreamBowl
grill bar,FoodIconBurger
infused water pitcher,FoodIconGlassWater
whole fish,FoodIconFish
ice mountain,FoodIconGlassWater
wheat berry salad,FoodIconWheat
taqueria station,FoodIconTaco
seltzer plain,FoodIconGlassWater
chicago style fully loaded,FoodIconHotDog
mexican torta,FoodIconSandwich
haribo,FoodIconCandy
build your own sandwich,FoodIconSandwich
puchero,FoodIconSoup
cold cereal,FoodIconWheat
stored food,FoodIconRefrigerator
bakery cookie station,FoodIconCookie
pesto pasta cold,FoodIconPasta
spicy chicken sandwich,FoodIconChicken
pernil roast,FoodIconPork
lake smelt,FoodIconFish
spiral fries,FoodIconFries
green smoothie,FoodIconCupSoda
chicago style hot dog,FoodIconHotDog
twix ice cream sandwich,FoodIconIceCreamSandwich
lucky charms,FoodIconWheat
lobster fried rice,FoodIconRiceBowl
pullman loaf,FoodIconBread
fresh greens bar,FoodIconSalad
black truffle pasta,FoodIconPasta
impossible burger station,FoodIconBurger
birthday cake popcorn,FoodIconPopcorn
food items,FoodIconShoppingBasket
tororo udon,FoodIconRamen
tiger sugar boba,FoodIconCupSoda
jumbo lollipop large,FoodIconLollipop
veggie station,FoodIconSalad
cara cara orange,FoodIconCitrus
cotton candy grape individual,FoodIconGrape
fresh baked goods,FoodIconCake
chicken schnitzel,FoodIconChicken
cholula,FoodIconChefHat
crepes,FoodIconCroissant
asian rice station,FoodIconRiceBowl
today's creation,FoodIconChefHat
french carrot,FoodIconCarrot
jumbo lollipop,FoodIconLollipop
grilled mahi,FoodIconFish
vanilla ice cream sandwich bar,FoodIconIceCreamSandwich
assorted cereal,FoodIconWheat
amino acids,FoodIconProtein
hard kombucha,FoodIconBeer
cara cara salad,FoodIconCitrus
glazed chicken piece,FoodIconChicken
spinach pizza,FoodIconPizza
drumstick,FoodIconDrumstick
frozen dinner entrée,FoodIconMicrowave
lentil loaf,FoodIconVegan
sliders,FoodIconBurger
chicken and waffles,FoodIconChicken
fudge pop bar,FoodIconPopsicle
bialetti,FoodIconCoffee
quinoa salad,FoodIconSalad
ready made from fridge,FoodIconRefrigerator
budae jjigae noodle,FoodIconRamen
morel pasta,FoodIconPasta
lasagna,FoodIconPasta
chicken taco,FoodIconTaco
fudgsicle,FoodIconPopsicle
memela,FoodIconTaco
fraisier,FoodIconCake
little smokie,FoodIconHotDog
colada coffee,FoodIconCoffee
acai bowl,FoodIconIceCreamBowl
lavash wrap station,FoodIconWrap
double shot espresso,FoodIconCoffee
doritos locos taco,FoodIconTaco
nasi padang mixed rice,FoodIconRiceBowl
antipasto station,FoodIconSalad
four sigmatic,FoodIconCoffee
snail dish french,FoodIconSnail
weight gainer,FoodIconProtein
whiskey sour,FoodIconMartini
super burrito,FoodIconBurrito
german sausage,FoodIconHotDog
bean and cheese quesadilla,FoodIconBurrito
kumquat,FoodIconCitrus
sonoran dog,FoodIconHotDog
seaweed wrap,FoodIconSushi
seafood entree station,FoodIconFish
iced cookie,FoodIconCookie
spritz,FoodIconMartini
elk burger,FoodIconBurger
stuffed crust pizza,FoodIconPizza
starbucks can,FoodIconCoffee
deli station,FoodIconSandwich
from scratch,FoodIconChefHat
wieners,FoodIconHotDog
rolled taco station,FoodIconTaco
tiger milk tea,FoodIconCupSoda
original crackers,FoodIconBread
finnan haddie,FoodIconFish
snapple,FoodIconCupSoda
fresh baked pizza station,FoodIconPizza
cowboy steak,FoodIconBeef
shaved brussels salad,FoodIconSalad
sandwich cookies,FoodIconCookie
pork scallopini,FoodIconPork
brazil nut chocolate,FoodIconNut
steamed fish,FoodIconFish
egg white scramble,FoodIconEgg
core power,FoodIconProtein
otter pops,FoodIconPopsicle
banana pancakes,FoodIconBanana
thai sweet chili chicken,FoodIconChicken
boba latte,FoodIconCupSoda
medium egg,FoodIconEgg
chicken entree station,FoodIconChicken
crab roll,FoodIconSandwich
food kit,FoodIconShoppingBasket
speck cured ham,FoodIconHam
whole branzino,FoodIconFish
paella rice dish,FoodIconRiceBowl
philly station,FoodIconSandwich
tteok,FoodIconRiceBowl
ice cream roll cake,FoodIconCake
honey roasted cashews,FoodIconNut
pretzel nuggets,FoodIconBread
pot pie,FoodIconCookingPot
cooking ingredients,FoodIconShoppingBasket
nut butter,FoodIconNut
smoked turkey breast sliced,FoodIconHam
shrimp bisque,FoodIconShrimp
blended fruit drink,FoodIconCupSoda
sub bar,FoodIconSandwich
tiramisu coffee,FoodIconCoffee
charcuterie board,FoodIconHam
bakso meatball soup,FoodIconSoup
soft serve station buffet,FoodIconDessert
truffle fries,FoodIconFries
omelette bar,FoodIconEgg
free range egg,FoodIconEgg
grilled sandwich station,FoodIconSandwich
beef station,FoodIconBeef
tie dye ice pop,FoodIconPopsicle
ice cream scoop station,FoodIconIceCream
fire noodles,FoodIconRamen
plant based meal,FoodIconVegan
keg beer,FoodIconBeer
swiss chard wrap,FoodIconWrap
cherry vanilla,FoodIconCherry
pressed juicery,FoodIconCupSoda
wheat germ,FoodIconWheat
hijiki salad,FoodIconSushi
plate of food,FoodIconUtensils
ground turkey sauce,FoodIconCookingPot
pasta alla trapanese,FoodIconPasta
budweiser,FoodIconBeer
swirl machine cone,FoodIconIceCream
wafer ice cream sandwich,FoodIconIceCreamSandwich
table grapes,FoodIconGrape
roasted carrot soup,FoodIconCarrot
unflavored sparkling water,FoodIconGlassWater
chicken tikka masala,FoodIconChicken
kingfisher,FoodIconBeer
pasta line,FoodIconPasta
cone of fries,FoodIconFries
cupcake,FoodIconCake
buffalo style chicken leg,FoodIconDrumstick
carrot soup,FoodIconSoup
frozen meat,FoodIconMicrowave
pancake,FoodIconCroissant
bucatini all amatriciana,FoodIconPasta
the donut pub,FoodIconDonut
waffle iron station,FoodIconCroissant
perrier,FoodIconCupSoda
sweet tamale,FoodIconTaco
beer and lemonade,FoodIconBeer
candy,FoodIconCandy
protein supplement,FoodIconProtein
brick oven pizza station,FoodIconPizza
hot breakfast line,FoodIconEgg
maple glazed chicken leg,FoodIconDrumstick
baked fries,FoodIconFries
sugar free lollipop,FoodIconLollipop
banana,FoodIconBanana
wiener,FoodIconHotDog
cherry limeade sonic,FoodIconCupSoda
pilaf,FoodIconRiceBowl
my meal,FoodIconUtensils
sous vide egg bite,FoodIconEgg
shiraz,FoodIconWine
frozen chicken nuggets,FoodIconChicken
ground beef taco,FoodIconBeef
medium popcorn,FoodIconPopcorn
skillet fry,FoodIconFries
sopa alentejana,FoodIconSoup
treat bar,FoodIconCake
thumbprint cookie,FoodIconCookie
naked wings,FoodIconChicken
oven roasted carrots,FoodIconCarrot
bibimbap stone pot,FoodIconRiceBowl
bone-in chicken,FoodIconDrumstick
soda water,FoodIconGlassWater
chicken drumstick,FoodIconDrumstick
sandwich buffet,FoodIconSandwich
frullati smoothie,FoodIconCupSoda
pan seared breast,FoodIconChicken
lime zest,FoodIconCitrus
shawarma line,FoodIconWrap
rotini,FoodIconPasta
pork taco,FoodIconTaco
basmati rice station,FoodIconRiceBowl
roast beef sandwich,FoodIconSandwich
oil roasted peanuts,FoodIconNut
weizen glass,FoodIconBeer
sweet potato fries,FoodIconFries
instant meal,FoodIconMicrowave
pasta bottarga,FoodIconPasta
escargot parsley butter,FoodIconSnail
crispy hash browns,FoodIconEgg
icelandic yogurt,FoodIconMilk
goat milk fresh,FoodIconMilk
cookies,FoodIconCookie
brownie hot fudge sundae,FoodIconIceCreamBowl
frosted flakes,FoodIconWheat
lemon cookie,FoodIconCookie
buffet,FoodIconUtensilsCrossed
local eggs,FoodIconEgg
barbacoa taco,FoodIconTaco
birthday ice cream sandwich,FoodIconIceCreamSandwich
miso glazed pork,FoodIconPork
paccheri,FoodIconPasta
pepitas roasted,FoodIconNut
habesha bread,FoodIconBread
teriyaki drumstick,FoodIconDrumstick
dairy drink,FoodIconMilk
flat pop,FoodIconLollipop
nooch dish,FoodIconVegan
coconut ice cream,FoodIconDessert
piccata chicken,FoodIconChicken
basil fried rice,FoodIconRiceBowl
nachos with cheese,FoodIconTaco
sit down restaurant,FoodIconUtensilsCrossed
clover club,FoodIconMartini
chef's choice,FoodIconChefHat
ribollita,FoodIconSoup
sole,FoodIconFish
two scoops,FoodIconIceCreamBowl
baked goods bar,FoodIconCake
sesame nori,FoodIconSushi
fair life ultra filtered,FoodIconMilk
syrah bottle,FoodIconBottleWine
large popcorn bucket cinema,FoodIconPopcorn
candy cane bark,FoodIconCandyCane
egg and cheese croissant,FoodIconCroissant
kitchen daily special,FoodIconChefHat
pancakes,FoodIconCroissant
roasted pheasant,FoodIconDrumstick
beef bar,FoodIconBeef
skillet fried egg,FoodIconEggFried
avocado oil popcorn,FoodIconPopcorn
extra dry martini,FoodIconMartini
tripe taco,FoodIconTaco
gingerbread donut,FoodIconDonut
colossal shrimp,FoodIconShrimp
lemon pepper wings,FoodIconChicken
tap beer,FoodIconBeer
strawberry waffle,FoodIconCroissant
skinny pop white cheddar,FoodIconPopcorn
deli turkey thin sliced,FoodIconHam
made to order eggs,FoodIconEgg
caesar salad wrap,FoodIconWrap
chicken tender,FoodIconChicken
pancake lollipop,FoodIconLollipop
pilon coffee,FoodIconCoffee
noosa yogurt,FoodIconMilk
pork piccata,FoodIconPork
crunch roll,FoodIconSushi
game hen,FoodIconDrumstick
renaissance turkey leg,FoodIconDrumstick
personal pizza station,FoodIconPizza
kippered herring,FoodIconFish
rye bread,FoodIconBread
grab and go cereal,FoodIconWheat
fountain beverage,FoodIconCupSoda
hawaiian roll,FoodIconBread
lengua taco,FoodIconTaco
french bread,FoodIconBread
vanilla latte,FoodIconCoffee
mixed fried rice,FoodIconRiceBowl
peanut butter packet,FoodIconChefHat
thanksgiving turkey,FoodIconDrumstick
fifty fifty martini,FoodIconMartini
honey citrus mint,FoodIconCoffee
lime sherbet cone,FoodIconIceCream
turkey meatballs,FoodIconCookingPot
snap pea salad,FoodIconSalad
wrap station,FoodIconWrap
banana cream dessert,FoodIconBanana
beef tournedos,FoodIconBeef
gummy candy,FoodIconCandy
suadero tacos beef,FoodIconBeef
kimchi jjigae,FoodIconSoup
vanilla yogurt,FoodIconMilk
essentia alkaline water,FoodIconGlassWater
energy drink,FoodIconCupSoda
fusion taco,FoodIconTaco
salad toppings bar,FoodIconSalad
fresh wrap,FoodIconWrap
publix groceries,FoodIconShoppingBasket
humm kombucha,FoodIconCupSoda
vanilla skyr,FoodIconMilk
chemex pour over,FoodIconCoffee
salad bar fresh,FoodIconSalad
chocolate chip pancake,FoodIconCroissant
chalupa,FoodIconTaco
rice krispies,FoodIconWheat
scrambled eggs,FoodIconEgg
roast bird,FoodIconDrumstick
meat board,FoodIconHam
popsicles,FoodIconPopsicle
daily cake,FoodIconCake
whole milk,FoodIconMilk
slow roasted turkey,FoodIconDrumstick
cronut,FoodIconDonut
bread,FoodIconBread
whoppers,FoodIconCandy
tropical fruit mix,FoodIconApple
grenache bottle,FoodIconBottleWine
shabu shabu broth,FoodIconSoup
grape snack individual,FoodIconGrape
baked tater tot,FoodIconFries
patty melt,FoodIconSandwich
tossed salad bar,FoodIconSalad
taqueria line,FoodIconTaco
tilapia station,FoodIconFish
low fat yogurt,FoodIconMilk
bbq sauce,FoodIconChefHat
dutch oven chicken,FoodIconCookingPot
tororo soba,FoodIconRamen
ginger ale,FoodIconCupSoda
unspecified food,FoodIconUtensils
ice cream cake,FoodIconCake
chef prepared,FoodIconChefHat
poached egg,FoodIconEgg
